"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20920","Display location suggestions for a valid partial location","","2026-05-23","passed","2026-05-23","","","",""
"","112646","Apply New Launch filters and open View Number popup","","2026-05-23","passed","2026-05-23","","","",""
"","24156","Open the New Launch module successfully from the homepage","","2026-05-23","passed","2026-05-23","","","",""
"","30756","Search for a valid location in the New Launch module","","2026-05-23","passed","2026-05-23","","","",""
"","25663","Invalid location should not show valid suggestions or proceed","","2026-05-23","passed","2026-05-23","","","",""
"","18711","Search should not proceed without entering a location","","2026-05-23","passed","2026-05-23","","","",""
"","47744","Apply the Residential Property Type filter on search results","","2026-05-23","passed","2026-05-23","","","",""
